SUB,SAMPLE_NAME,REG
Mandinka,HG02461,WA
Mandinka,HG02462,WA
Mandinka,HG02464,WA
Mandinka,HG02465,WA
Mandinka,HG02561,WA
Mandinka,HG02562,WA
Mandinka,HG02569,WA
Mandinka,HG02570,WA
Mandinka,HG02571,WA
Mandinka,HG02573,WA
Mandinka,HG02574,WA
Mandinka,HG02582,WA
Mandinka,HG02583,WA
Mandinka,HG02585,WA
Mandinka,HG02586,WA
Mandinka,HG02588,WA
Mandinka,HG02589,WA
Mandinka,HG02594,WA
Mandinka,HG02595,WA
Mandinka,HG02610,WA
Mandinka,HG02611,WA
Mandinka,HG02613,WA
Mandinka,HG02614,WA
Mandinka,HG02620,WA
Mandinka,HG02621,WA
Mandinka,HG02625,WA
Mandinka,HG02628,WA
Mandinka,HG02629,WA
Mandinka,HG02634,WA
Mandinka,HG02635,WA
Mandinka,HG02642,WA
Mandinka,HG02643,WA
Mandinka,HG02645,WA
Mandinka,HG02646,WA
Mandinka,HG02666,WA
Mandinka,HG02667,WA
Mandinka,HG02675,WA
Mandinka,HG02676,WA
Mandinka,HG02678,WA
Mandinka,HG02679,WA
Mandinka,HG02702,WA
Mandinka,HG02703,WA
Mandinka,HG02715,WA
Mandinka,HG02716,WA
Mandinka,HG02721,WA
Mandinka,HG02722,WA
Mandinka,HG02756,WA
Mandinka,HG02757,WA
Mandinka,HG02759,WA
Mandinka,HG02760,WA
Mandinka,HG02762,WA
Mandinka,HG02763,WA
Mandinka,HG02768,WA
Mandinka,HG02769,WA
Mandinka,HG02771,WA
Mandinka,HG02772,WA
Mandinka,HG02798,WA
Mandinka,HG02799,WA
Mandinka,HG02804,WA
Mandinka,HG02805,WA
Mandinka,HG02807,WA
Mandinka,HG02808,WA
Mandinka,HG02810,WA
Mandinka,HG02811,WA
Mandinka,HG02813,WA
Mandinka,HG02814,WA
Mandinka,HG02816,WA
Mandinka,HG02817,WA
Mandinka,HG02819,WA
Mandinka,HG02820,WA
Mandinka,HG02836,WA
Mandinka,HG02837,WA
Mandinka,HG02839,WA
Mandinka,HG02840,WA
Mandinka,HG02851,WA
Mandinka,HG02852,WA
Mandinka,HG02854,WA
Mandinka,HG02855,WA
Mandinka,HG02860,WA
Mandinka,HG02861,WA
Mandinka,HG02871,WA
Mandinka,HG02878,WA
Mandinka,HG02879,WA
Mandinka,HG02881,WA
Mandinka,HG02882,WA
Mandinka,HG02884,WA
Mandinka,HG02885,WA
Mandinka,HG02887,WA
Mandinka,HG02888,WA
Mandinka,HG02890,WA
Mandinka,HG02891,WA
Mandinka,HG02895,WA
Mandinka,HG02896,WA
Esan,HG02922,WA
Esan,HG02923,WA
Esan,HG02938,WA
Esan,HG02941,WA
Esan,HG02943,WA
Esan,HG02944,WA
Esan,HG02946,WA
Esan,HG02947,WA
Esan,HG02952,WA
Esan,HG02953,WA
Esan,HG02964,WA
Esan,HG02965,WA
Esan,HG02968,WA
Esan,HG02970,WA
Esan,HG02971,WA
Esan,HG02973,WA
Esan,HG02974,WA
Esan,HG02976,WA
Esan,HG02977,WA
Esan,HG02979,WA
Esan,HG02981,WA
Mandinka,HG02982,WA
Mandinka,HG02983,WA
Mandinka,HG03024,WA
Mandinka,HG03025,WA
Mandinka,HG03027,WA
Mandinka,HG03028,WA
Mandinka,HG03033,WA
Mandinka,HG03034,WA
Mandinka,HG03039,WA
Mandinka,HG03040,WA
Mandinka,HG03045,WA
Mandinka,HG03046,WA
Mandinka,HG03048,WA
Mandinka,HG03049,WA
Mende,HG03052,WA
Mende,HG03054,WA
Mende,HG03055,WA
Mende,HG03057,WA
Mende,HG03058,WA
Mende,HG03060,WA
Mende,HG03061,WA
Mende,HG03063,WA
Mende,HG03064,WA
Mende,HG03066,WA
Mende,HG03069,WA
Mende,HG03072,WA
Mende,HG03073,WA
Mende,HG03074,WA
Mende,HG03077,WA
Mende,HG03078,WA
Mende,HG03079,WA
Mende,HG03081,WA
Mende,HG03082,WA
Mende,HG03084,WA
Mende,HG03085,WA
Mende,HG03086,WA
Mende,HG03088,WA
Mende,HG03091,WA
Mende,HG03095,WA
Mende,HG03098,WA
Esan,HG03099,WA
Esan,HG03100,WA
Esan,HG03103,WA
Esan,HG03105,WA
Esan,HG03108,WA
Esan,HG03109,WA
Esan,HG03111,WA
Esan,HG03112,WA
Esan,HG03114,WA
Esan,HG03115,WA
Esan,HG03117,WA
Esan,HG03118,WA
Esan,HG03120,WA
Esan,HG03121,WA
Esan,HG03123,WA
Esan,HG03124,WA
Esan,HG03126,WA
Esan,HG03127,WA
Esan,HG03129,WA
